school,lat,lon,city,county,state,zip
Duval Senior High School,38.98944255,-76.8383268,Lanham,Prince George's County,MD,20706
Eastern Technical High School,39.325282,-76.47328,Baltimore,Baltimore County,MD,21221
Easton High School,38.7558,-76.0657,Easton,Talbot County,MD,21601
Edgewood High School,39.422211,-76.28616,Edgewood,Harford County,MD,21040
Eleanor Roosevelt High School,38.9946354,-76.86955189,Greenbelt,Prince George's County,MD,20770
Elizabeth Seton High School,38.945944,-76.913863,Bladensburg,Prince George's County,MD,20710
Elkton High School,39.62272265,-75.83538856,Elkton,Cecil County,MD,21921
Fairmont Heights High School,38.90428,-76.91664,Landover,Prince George's County,MD,20785
Fallston High School,39.5220529,-76.4131135,Fallston,Harford County,MD,21047
Forestville High School,38.836757,-76.885987,Forestville,Prince George's County,MD,20747
Francis Scott Key High School,39.59121595,-77.13436592,Union Bridge,Carroll County,MD,21791
Franklin High School,39.4482,-76.8175,Reisterstown,Baltimore County,MD,21136
Frederick Douglass High School,39.315399,-76.654035,Baltimore,Baltimore City County,MD,21217
Frederick High School,39.4166901,-77.4279215,Frederick,Frederick County,MD,21701
French International School,38.9875,-77.06343,Bethesda,Montgomery County,MD,20814
Friendly High School,38.752009,-76.968688,Fort Washington,Prince George's County,MD,20744
Friends School Of Baltimore,39.356311,-76.627708,Baltimore,Baltimore City County,MD,21210
From The Heart Christian Sch,38.830347,-76.950513,Suitland-Silver Hill,Prince George's County,MD,20746
Gaithersburg High School,39.135581,-77.195643,Gaithersburg,Montgomery County,MD,20877
Garrison Forest School,39.40873,-76.76234,Owings Mills,Baltimore County,MD,21117
Georgetown Preparatory School,39.0335609,-77.10955558,North Bethesda,Montgomery County,MD,20852
Gerstell Academy,39.512438,-76.901866,Finksburg,Carroll County,MD,21048
Gilman School,39.35943385,-76.63203009,Baltimore,Baltimore City County,MD,21210
Glen Burnie High School,39.16028605,-76.61738805,Glen Burnie,Anne Arundel County,MD,21060
Glenelg Country School,39.252277,-76.959274,Ellicott City,Howard County,MD,21042
Glenelg High School,39.2753995,-77.00206397,Glenelg,Howard County,MD,21737
Governor Thomas Johnson Hs,39.434386,-77.406965,Frederick,Frederick County,MD,21701
Grace Brethren Christian Sch,38.75536,-76.89401,Clinton,Prince George's County,MD,20735
Great Mills High School,38.2474485,-76.48749495,Great Mills,St. Mary's County,MD,20634
Gwynn Park High School,38.7019569,-76.8704014,Brandywine,Prince George's County,MD,20613
Hammond High School,39.1677,-76.8605,Columbia,Howard County,MD,21046
Harford Technical High School,39.559082,-76.28770161,Bel Air,Harford County,MD,21015
Havre De Grace High School,39.54793975,-76.09605599,Havre de Grace,Harford County,MD,21078
Heights School,39.0284,-77.1646,Potomac,Montgomery County,MD,20854
Henry E Lackey High School,38.5795636,-77.1280337,Indian Head,Charles County,MD,20640
Hereford High,39.59912935,-76.65960247,Parkton,Baltimore County,MD,21120
High Point Sr High School,39.0426254,-76.9434107,Beltsville,Prince George's County,MD,20705
Holton Arms School,38.593,-77.853,Bethesda,Montgomery County,MD,20817
Howard High School,39.22641325,-76.81244541,Ellicott City,Howard County,MD,21043
Huntingtown High School,38.61928855,-76.60886545,Huntingtown,Calvert County,MD,20639
Indian Creek School,39.013748,-76.590974,Crownsville,Anne Arundel County,MD,21032
Institute Of Notre Dame,39.30070905,-76.60151142,Baltimore,Baltimore City County,MD,21202
International Hs Largo,38.93902,-76.926816,Upper Marlboro,Prince George's County,MD,20774
Intl Hs At Langley Park,39.9413727,-75.2547114,Hyattsville,Prince George's County,MD,20784
James Hubert Blake High School,39.113457,-77.01744,Silver Spring,Montgomery County,MD,
James M Bennett High School,38.345347,-75.590781,Salisbury,Wicomico County,MD,21804
John Carroll School,39.5388,-76.333,Bel Air,Harford County,MD,21014
John F Kennedy High School,39.06567965,-77.03917248,Silver Spring,Montgomery County,MD,20902
Joppatowne High School,39.4143859,-76.35146349,Joppa,Harford County,MD,21085
Kent County High School,39.2853875,-76.0921702,Worton,Kent County,MD,21678
Kent Island High School,38.99062,-76.31185,Stevensville,Queen Anne's County,MD,21666
Kenwood High,39.3255,76.4624,Baltimore,Baltimore County,MD,21221
Key School,38.9314,-76.4941,Annapolis,Anne Arundel County,MD,21403
La Plata High School,38.546232,-76.950251,La Plata,Charles County,MD,20646
Landon School,38.9912804,-77.12601464,Bethesda,Montgomery County,MD,20817
Lanham Christian School,38.9791085,-76.8624129,Lanham,Prince George's County,MD,20706
Lansdowne High,39.245766,-76.651699,Baltimore,Baltimore County,MD,21227
Largo High School,38.886667,-76.819953,Upper Marlboro,Prince George's County,MD,20774
Laurel High School,39.0942753,-76.8674733,Laurel,Prince George's County,MD,20707
Leonardtown High School,38.270127,-76.611349,Leonardtown,St. Mary's County,MD,20650
Liberty High School,39.41325325,-76.95270433,Eldersburg,Carroll County,MD,21784
Linganore High School,39.4328802,-77.2474826,Frederick,Frederick County,MD,21701
Loch Raven High,39.405701,-76.562462,Towson,Baltimore County,MD,21286
Long Reach High School,39.20607705,-76.81118978,Columbia,Howard County,MD,21045
Loyola Blakefield High School,39.402693,-76.627342,Towson,Baltimore County,MD,21204
Manchester Valley High School,39.65402595,-76.87885132,Manchester,Carroll County,MD,21102
Mardela High School,38.465661,-75.74752,Mardela Springs,Wicomico County,MD,21837
Marriotts Ridge High School,39.323017,-76.935274,Marriottsville,Howard County,MD,21104
Maryland Unknown,none,none,,,,
Maryvale Preparatory School,39.430018,-76.685633,Brooklandville,Baltimore County,MD,21022
Maurice J Mcdonough High Sch,38.55496,-77.034091,Pomfret,Charles County,MD,20675
McDonogh School,39.39829565,-76.77240368,Owings Mills,Baltimore County,MD,21117
McLean School,39.038803,-77.16794256,Potomac,Montgomery County,MD,208
Meade Senior High School,39.122124,-76.738454,Fort Meade,Anne Arundel County,MD,20755
Melvin J Berman Hebrew Academy,39.07386335,-77.10092258,Rockville,Montgomery County,MD,20853
Mercy High School,39.367,-76.5897,Baltimore,Baltimore City County,MD,21239
Mergenthaler Voc-Tech Hs,39.33225855,-76.591075,Baltimore,Baltimore City County,MD,21218
Middletown High School,39.4464902,-77.5341543,Middletown,Frederick County,MD,21769
Milford Mill Academy,39.35566255,-76.75001863,Baltimore,Baltimore County,MD,21244
Montgomery Blair High School,39.018274,-77.011607,Silver Spring,Montgomery County,MD,20901
Mount De Sales Academy,39.2857,-76.7201,Catonsville,Baltimore County,MD,21228
Mount Hebron High School,39.2992019,-76.83960841,Ellicott City,Howard County,MD,21042
Mount Saint Joseph High School,39.279774,-76.685566,Baltimore,Baltimore City County,MD,21229
Mountain Ridge High School,39.650391,-78.913282,Frostburg,Allegany County,MD,21532
New Town High School,39.4032,-76.8124,Owings Mills,Baltimore County,MD,21117
North Caroline High School,38.90965,-75.841245,Ridgely,Caroline County,MD,21660
North Carroll High School,39.609988,-76.861121,Hampstead,Carroll County,MD,21074
North County High School,39.192842,-76.637055,Glen Burnie,Anne Arundel County,MD,21061
North Dorchester High School,38.5875635,-75.87314446,Hurlock,Dorchester County,MD,21643
North East High School,39.5853913,-75.9332767,North East,Cecil County,MD,21901
North Hagerstown High School,39.661972,-77.714199,Hagerstown,Washington County,MD,21740
North Harford High School,39.6741921,-76.40083772,Pylesville,Harford County,MD,21132
North Point High School,38.6402057,-76.97584336,Waldorf,Charles County,MD,20603
Northeast Senior High School,39.14393,-76.52886,Pasadena,Anne Arundel County,MD,21122
Northern Garrett County Hs,39.664253,-79.299,Accident,Garrett County,MD,21520
Northern High School,38.6855138,-76.650919,Owings,Calvert County,MD,20736
Northwest High School,39.1510845,-77.27966016,Germantown,Montgomery County,MD,20874
Northwestern High School,38.9749924,-76.95502815,Hyattsville,Prince George's County,MD,20782
Northwood High School,39.035803,-77.022522,Silver Spring,Montgomery County,MD,20901
Northwood High School,39.0349,-77.0227,Pittsville,Wicomico County,MD,21850
Notre Dame Preparatory School,39.41520573,-76.57899426,Towson,Baltimore County,MD,21286
Oakdale High School,39.3950419,-77.30998787,Ijamsville,Frederick County,MD,21754
Oakland Mills High School,39.2088003,-76.83918915,Columbia,Howard County,MD,21045
Old Mill Senior High School,39.122377,-76.628381,Millersville,Anne Arundel County,MD,21108
Our Lady Of Good Counsel Hs,39.141394,-77.045491,Olney,Montgomery County,MD,20832
Our Lady Of Mount Carmel Hs,39.3206523,-76.4478193,Baltimore,Baltimore County,MD,21221
Overlea High,39.3492173,-76.5109199,Baltimore,Baltimore County,MD,21206
Owings Mills High,39.423775,-76.79448,Owings Mills,Baltimore County,MD,21117
Oxon Hill High School,38.7971937,-76.99440352,Oxon Hill,Prince George's County,MD,20745
Paint Branch High School,39.087334,-76.947338,Burtonsville,Montgomery County,MD,20866
Park School Of Baltimore,39.392749,-76.675146,Baltimore County,Baltimore County,MD 21208,
Parkdale High School,38.9699431,-76.90389498,Riverdale,Prince George's County,MD,20737
Parkside High School,38.3495,-75.5736,Salisbury,Wicomico County,MD,21804
Parkville High & Center,39.387552,-76.538704,Baltimore County,Baltimore County,MD 21234,
Patapsco Hs And Ctr For Arts,39.266146,-76.487958,Baltimore County,Baltimore County,MD 21222,
Patterson Mill High School,39.507274,-76.324692,Bel Air,Harford County,MD,21015
Patuxent High School,38.3547949,-76.44000714,Lusby,Calvert County,MD,20657
Paul L Dunbar High School,39.2955,-76.5985,Baltimore City,Baltimore City,MD 21231,
Perry Hall High,39.39262835,-76.46444806,Baltimore County,Baltimore County,MD 21236,
Perryville High School,39.58206395,-76.0627031,Perryville,Cecil County,MD,21903
Pikesville High,39.377631,-76.699644,Pikesville,Baltimore County,MD,21208
Poolesville High School,39.14337835,-77.41867695,Poolesville,Montgomery County,MD,20837
Potomac High School,38.8210278,-76.9774441,Oxon Hill,Prince George's County,MD,20745
Queen Annes County High School,39.037588,-76.051965,Centreville,Queen Anne's County,MD,21617
Quince Orchard High School,39.11630385,-77.25513652,Gaithersburg,Montgomery County,MD,20878
Randallstown High,39.382353,-76.79875,Randallstown,Baltimore County,MD,21133
Reservoir High School,39.1528837,-76.91231973,Fulton,Howard County,MD,20759
Richard Montgomery High School,39.07919,-77.146801,Rockville,Montgomery County,MD,20852
Rising Sun High School,39.6914777,-75.97119698,North East,Cecil County,MD,21901
River Hill High School,39.2152024,-76.92886779,Clarksville,Howard County,MD,21029
Riverdale Baptist School,38.870169,-76.791291,Upper Marlboro,Prince George's County,MD,20774
Rockbridge Academy,39.0644,-76.6055,Millersville,Anne Arundel County,MD,21108
Rockville High School,39.0868715,-77.11876366,Rockville,Montgomery County,MD,20851
Roland Park Country School,39.358259,-76.636736,Baltimore City,Baltimore City,MD 21210,
Saint Andrews Episcopal School,39.0465,-77.1764,Potomac,Montgomery County,MD,20854
Saint Charles High School,38.5672303,-76.90881511,Waldorf,Charles County,MD,20602
Saint Frances Academy,39.302033,-76.608425,Baltimore City,MD 21202,MD 21202,
Saint James School,39.5753153,-77.7587114,Hagerstown,Washington County,MD,21740
Saint Johns Catholic Prep,39.3403389,-77.42533396,Buckeystown,Frederick County,MD,21717
Saint Maria Goretti Hs,39.664306,-77.704622,Hagerstown,Washington County,MD,21742
Saint Mary'S High School,38.97523,-76.488952,Annapolis,Anne Arundel County,MD,21401
Saint Marys Ryken High School,38.285413,-76.622061,Leonardtown,St. Mary's County,MD,20650
Saint Pauls School For Boys,39.430951,-76.677567,Brooklandville,Baltimore County,MD,21022
Saint Pauls School For Girls,39.424793,-76.677785,Brooklandville,Baltimore County,MD,21022
Saint Timothys School,39.4083071,-76.68966795,Stevenson,Baltimore County,MD,21153
Saint Vincent Pallotti Hs,39.107712,-76.857024,Laurel,Prince George's County,MD,20707
Saints Peter And Paul Hs,38.7687,-76.0619,Easton,Talbot County,MD,21601
Salisbury School,38.3637286,-75.5321445,Salisbury,Wicomico County,MD,21804
Sandy Spring Friends School,39.135474,-77.025936,Sandy Spring,Montgomery County,MD,20860
Seed School Of Maryland,39.284927,-76.664354,Baltimore City,Baltimore City,MD 21223,
Seneca Valley High School,39.1738341,-77.2637787,Germantown,Montgomery County,MD,20874
Seton Keough High School,39.268962,-76.666111,Baltimore,Baltimore City,MD,21227
Severn School,39.0686,-76.5478,Severna Park,Anne Arundel County,MD,21146
Severna Park Senior High Sch,39.07784,-76.55899,Severna Park,Anne Arundel County,MD,21146
Sherwood High School,39.14681235,-77.01870703,Sandy Spring,Montgomery County,MD,20860
Smithsburg High School,39.66,-77.5753,Smithsburg,Washington County,MD,21783
Snow Hill High School,33.953171,-83.384423,Snow Hill,Worcester County,MD,21863
South Carroll High School,39.44309765,-77.04142035,Sykesville,Carroll County,MD,21784
South Hagerstown High School,39.6203459,-77.73156609,Hagerstown,Washington County,MD,21740
South River High School,38.9218,-76.5598,Edgewater,Anne Arundel County,MD,21037
Southern Garrett High School,39.404853,-79.387971,Oakland,Garrett County,MD,21550
Southern High School,38.8684,-76.6194,Harwood,Anne Arundel County,MD,20776
Sparrows Point High School,39.239217,-76.441895,Sparrows Point,Baltimore County,MD,21219
Spencerville Adventist Academy,39.117185,-76.958327,Spencerville,Montgomery County,MD,20868
Springbrook High School,39.058185,-77.006941,Silver Spring,Montgomery County,MD,20904
Stephen Decatur High School,38.33988825,-75.18987097,Berlin,Worcester County,MD,21811
Stone Ridge Sch Sacred Heart,39.0066377,-77.0943544,Bethesda,Montgomery County,MD,20814
Suitland High School,38.854185,-76.9177097,Forestville,Prince George's County,MD,20747
Surrattsville High School,38.762059,-76.901362,Clinton,Prince George's County,MD,20735
Takoma Academy,38.99240995,-76.99525955,Takoma Park,Montgomery County,MD,20912
Thomas Sprigg Wootton High Sch,39.07703,-77.182514,Rockville,Montgomery County,MD,20850
Thomas Stone High School,38.6136218,-76.8866869,Waldorf,Charles County,MD,20601
Tome School,39.60428,-76.10523,North East,Cecil County,MD,21901
Towson High School,39.3908,-76.6002,Towson,Baltimore County,MD,21286
Tuscarora High School,39.3778287,-77.4460838,Frederick,Frederick County,MD,21703
Urbana High School,39.324898,-77.337743,Ijamsville,Frederick County,MD,21754
Walkersville High School,39.47546225,-77.36154234,Walkersville,Frederick County,MD,21793
Walt Whitman High School,38.98198965,-77.12737588,Bethesda,Montgomery County,MD,20817
Walter Johnson High School,39.02506835,-77.130105,Bethesda,Montgomery County,MD,20814
Washington Christian Academy,39.12108905,-77.06826729,Olney,Montgomery County,MD,20832
Washington County Technical Hs,39.614552,-77.735881,Hagerstown,Washington County,MD,21740
Watkins Mill High School,39.183884,-77.214283,Gaithersburg,Montgomery County,MD,20879
West Nottingham Academy,39.66808915,-76.08015582,Colora,Cecil County,MD,21917
Western High School,39.3470272,-76.6425902,Baltimore City,Baltimore City,MD 21209,
Western Sch Tech Envrnmntl Sci,39.269452,-76.712886,Catonsville,Baltimore County,MD,21228
Westlake High School,38.6219781,-76.96588647,Waldorf,Charles County,MD,20603
Westminster High School,39.5414903,-76.9924815,Westminster,Carroll County,MD,21157
Wheaton High School,39.0598412,-77.0671834,Silver Spring,Montgomery County,MD,20906
Wicomico High School,38.364992,-75.578971,Salisbury,Wicomico County,MD,21804
Wilde Lake High School,39.216984,-76.8727116,Columbia,Howard County,MD,21044
Williamsport High School,39.597,-77.81,Williamsport,Washington County,MD,21795
Winston Churchill High School,39.042309,-77.173687,Potomac,Montgomery County,MD,20854
Winters Mill High School,39.57230385,-76.97577225,Westminster,Carroll County,MD,21157
Woodlawn High School,39.3154,-76.7338,Gwynn Oak,Baltimore County,MD 21207,
Worcester Preparatory School,38.3162733,-75.2210068,Berlin,Worcester County,MD,21811
Yeshiva Of Greater Washington,39.039895,-77.043917,Silver Spring,Montgomery County,MD,20910
