id,school,state,year,applied,admitted
210968,Atholton High School,Maryland,2016-17,203,122
210968,Atholton High School,Maryland,2017-18,184,86
210968,Atholton High School,Maryland,2018-19,211,106
210968,Atholton High School,Maryland,2019-20,179,100
210968,Atholton High School,Maryland,2020-21,213,103
210968,Atholton High School,Maryland,2021-22,245,166
210968,Atholton High School,Maryland,2022-23,211,115
210887,Avalon School,Maryland,2013-14,14,<10
210887,Avalon School,Maryland,2014-15,NA,NA
210887,Avalon School,Maryland,2015-16,11,<10
210887,Avalon School,Maryland,2016-17,NA,NA
210887,Avalon School,Maryland,2017-18,NA,NA
210887,Avalon School,Maryland,2018-19,NA,NA
210887,Avalon School,Maryland,2019-20,NA,NA
210887,Avalon School,Maryland,2020-21,10,<10
210887,Avalon School,Maryland,2021-22,10,<10
210887,Avalon School,Maryland,2022-23,NA,NA
210035,Baltimore City College,Maryland,2013-14,39,18
210035,Baltimore City College,Maryland,2014-15,31,18
210035,Baltimore City College,Maryland,2015-16,45,11
210035,Baltimore City College,Maryland,2016-17,44,17
210035,Baltimore City College,Maryland,2017-18,80,33
210035,Baltimore City College,Maryland,2018-19,68,38
210035,Baltimore City College,Maryland,2019-20,63,40
210035,Baltimore City College,Maryland,2020-21,75,47
210035,Baltimore City College,Maryland,2021-22,119,72
210035,Baltimore City College,Maryland,2022-23,125,83
210036,Baltimore Lutheran School,Maryland,2013-14,12,<10
210036,Baltimore Lutheran School,Maryland,2014-15,NA,NA
210036,Baltimore Lutheran School,Maryland,2015-16,NA,NA
210036,Baltimore Lutheran School,Maryland,2016-17,NA,NA
210036,Baltimore Lutheran School,Maryland,2017-18,NA,NA
210036,Baltimore Lutheran School,Maryland,2018-19,NA,NA
210036,Baltimore Lutheran School,Maryland,2019-20,NA,NA
210036,Baltimore Lutheran School,Maryland,2020-21,NA,NA
210036,Baltimore Lutheran School,Maryland,2021-22,NA,NA
210036,Baltimore Lutheran School,Maryland,2022-23,NA,NA
210038,Baltimore Polytechnic Inst,Maryland,2013-14,72,39
210038,Baltimore Polytechnic Inst,Maryland,2014-15,81,63
210038,Baltimore Polytechnic Inst,Maryland,2015-16,78,32
210038,Baltimore Polytechnic Inst,Maryland,2016-17,91,54
210038,Baltimore Polytechnic Inst,Maryland,2017-18,122,71
210038,Baltimore Polytechnic Inst,Maryland,2018-19,137,72
210038,Baltimore Polytechnic Inst,Maryland,2019-20,122,85
210038,Baltimore Polytechnic Inst,Maryland,2020-21,122,84
210038,Baltimore Polytechnic Inst,Maryland,2021-22,193,146
210038,Baltimore Polytechnic Inst,Maryland,2022-23,211,160
210044,Baltimore School For The Arts,Maryland,2013-14,14,<10
210044,Baltimore School For The Arts,Maryland,2014-15,29,17
210044,Baltimore School For The Arts,Maryland,2015-16,20,13
210044,Baltimore School For The Arts,Maryland,2016-17,22,11
210044,Baltimore School For The Arts,Maryland,2017-18,29,19
210044,Baltimore School For The Arts,Maryland,2018-19,27,14
210044,Baltimore School For The Arts,Maryland,2019-20,13,<10
210044,Baltimore School For The Arts,Maryland,2020-21,23,18
210044,Baltimore School For The Arts,Maryland,2021-22,30,27
210044,Baltimore School For The Arts,Maryland,2022-23,43,42
210609,Barbara Ingram School For Arts,Maryland,2013-14,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2014-15,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2015-16,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2016-17,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2017-18,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2018-19,12,<10
210609,Barbara Ingram School For Arts,Maryland,2019-20,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2020-21,NA,NA
210609,Barbara Ingram School For Arts,Maryland,2021-22,17,11
210609,Barbara Ingram School For Arts,Maryland,2022-23,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2013-14,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2014-15,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2015-16,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2016-17,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2017-18,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2018-19,NA,NA
210002,Bard Hs Early Clg Baltimore,Maryland,2019-20,16,<10
210002,Bard Hs Early Clg Baltimore,Maryland,2020-21,15,10
210002,Bard Hs Early Clg Baltimore,Maryland,2021-22,14,<10
210002,Bard Hs Early Clg Baltimore,Maryland,2022-23,26,<10
210230,Bel Air High School,Maryland,2013-14,55,32
210230,Bel Air High School,Maryland,2014-15,60,31
210230,Bel Air High School,Maryland,2015-16,56,13
210230,Bel Air High School,Maryland,2016-17,55,29
210230,Bel Air High School,Maryland,2017-18,81,39
210230,Bel Air High School,Maryland,2018-19,61,26
210230,Bel Air High School,Maryland,2019-20,52,27
210230,Bel Air High School,Maryland,2020-21,58,29
210230,Bel Air High School,Maryland,2021-22,85,52
210230,Bel Air High School,Maryland,2022-23,85,48
210811,Beth Tfiloh Dahan Community Hs,Maryland,2013-14,74,49
210811,Beth Tfiloh Dahan Community Hs,Maryland,2014-15,53,36
210811,Beth Tfiloh Dahan Community Hs,Maryland,2015-16,54,32
210811,Beth Tfiloh Dahan Community Hs,Maryland,2016-17,58,39
210811,Beth Tfiloh Dahan Community Hs,Maryland,2017-18,49,39
210811,Beth Tfiloh Dahan Community Hs,Maryland,2018-19,55,41
210811,Beth Tfiloh Dahan Community Hs,Maryland,2019-20,54,38
210811,Beth Tfiloh Dahan Community Hs,Maryland,2020-21,79,51
210811,Beth Tfiloh Dahan Community Hs,Maryland,2021-22,92,74
210811,Beth Tfiloh Dahan Community Hs,Maryland,2022-23,53,36
210250,Bethesda Chevy Chase Hs,Maryland,2013-14,193,115
210250,Bethesda Chevy Chase Hs,Maryland,2014-15,157,86
210250,Bethesda Chevy Chase Hs,Maryland,2015-16,159,76
210250,Bethesda Chevy Chase Hs,Maryland,2016-17,215,125
210250,Bethesda Chevy Chase Hs,Maryland,2017-18,230,128
210250,Bethesda Chevy Chase Hs,Maryland,2018-19,251,135
210250,Bethesda Chevy Chase Hs,Maryland,2019-20,238,137
210250,Bethesda Chevy Chase Hs,Maryland,2020-21,279,147
210250,Bethesda Chevy Chase Hs,Maryland,2021-22,325,206
210250,Bethesda Chevy Chase Hs,Maryland,2022-23,365,217
210532,Bishop Mcnamara High School,Maryland,2013-14,80,47
210532,Bishop Mcnamara High School,Maryland,2014-15,66,34
210532,Bishop Mcnamara High School,Maryland,2015-16,78,27
210532,Bishop Mcnamara High School,Maryland,2016-17,78,39
210532,Bishop Mcnamara High School,Maryland,2017-18,93,30
210532,Bishop Mcnamara High School,Maryland,2018-19,68,28
210532,Bishop Mcnamara High School,Maryland,2019-20,63,29
210532,Bishop Mcnamara High School,Maryland,2020-21,68,23
210532,Bishop Mcnamara High School,Maryland,2021-22,83,38
210532,Bishop Mcnamara High School,Maryland,2022-23,101,50
210275,Bladensburg High School,Maryland,2013-14,14,<10
210275,Bladensburg High School,Maryland,2014-15,21,<10
210275,Bladensburg High School,Maryland,2015-16,19,<10
210275,Bladensburg High School,Maryland,2016-17,14,<10
210275,Bladensburg High School,Maryland,2017-18,25,<10
210275,Bladensburg High School,Maryland,2018-19,21,<10
210275,Bladensburg High School,Maryland,2019-20,29,<10
210275,Bladensburg High School,Maryland,2020-21,23,10
210275,Bladensburg High School,Maryland,2021-22,23,<10
210275,Bladensburg High School,Maryland,2022-23,35,11
210375,Bohemia Manor High School,Maryland,2013-14,20,10
210375,Bohemia Manor High School,Maryland,2014-15,12,<10
210375,Bohemia Manor High School,Maryland,2015-16,NA,NA
210375,Bohemia Manor High School,Maryland,2016-17,13,<10
210375,Bohemia Manor High School,Maryland,2017-18,18,14
210375,Bohemia Manor High School,Maryland,2018-19,16,<10
210375,Bohemia Manor High School,Maryland,2019-20,15,10
210375,Bohemia Manor High School,Maryland,2020-21,17,11
210375,Bohemia Manor High School,Maryland,2021-22,17,11
210375,Bohemia Manor High School,Maryland,2022-23,20,10
210280,Boonsboro High School,Maryland,2013-14,25,16
210280,Boonsboro High School,Maryland,2014-15,20,12
210280,Boonsboro High School,Maryland,2015-16,18,<10
210280,Boonsboro High School,Maryland,2016-17,19,<10
210280,Boonsboro High School,Maryland,2017-18,22,13
210280,Boonsboro High School,Maryland,2018-19,16,<10
210280,Boonsboro High School,Maryland,2019-20,22,13
210280,Boonsboro High School,Maryland,2020-21,24,15
210280,Boonsboro High School,Maryland,2021-22,22,16
210280,Boonsboro High School,Maryland,2022-23,29,10
210283,Bowie High School,Maryland,2013-14,111,46
210283,Bowie High School,Maryland,2014-15,141,56
210283,Bowie High School,Maryland,2015-16,103,39
210283,Bowie High School,Maryland,2016-17,126,42
210283,Bowie High School,Maryland,2017-18,101,35
210283,Bowie High School,Maryland,2018-19,71,14
210283,Bowie High School,Maryland,2019-20,80,25
210283,Bowie High School,Maryland,2020-21,94,32
210283,Bowie High School,Maryland,2021-22,146,73
210283,Bowie High School,Maryland,2022-23,138,67
210040,Boys Latin School Of Maryland,Maryland,2013-14,30,18
210040,Boys Latin School Of Maryland,Maryland,2014-15,33,16
210040,Boys Latin School Of Maryland,Maryland,2015-16,18,<10
210040,Boys Latin School Of Maryland,Maryland,2016-17,19,<10
210040,Boys Latin School Of Maryland,Maryland,2017-18,34,17
210040,Boys Latin School Of Maryland,Maryland,2018-19,29,14
210040,Boys Latin School Of Maryland,Maryland,2019-20,27,11
210040,Boys Latin School Of Maryland,Maryland,2020-21,17,<10
210040,Boys Latin School Of Maryland,Maryland,2021-22,26,13
210040,Boys Latin School Of Maryland,Maryland,2022-23,32,16
210011,Broadneck High School,Maryland,2013-14,103,53
210011,Broadneck High School,Maryland,2014-15,85,48
210011,Broadneck High School,Maryland,2015-16,103,51
210011,Broadneck High School,Maryland,2016-17,122,62
210011,Broadneck High School,Maryland,2017-18,127,61
210011,Broadneck High School,Maryland,2018-19,97,38
210011,Broadneck High School,Maryland,2019-20,117,63
210011,Broadneck High School,Maryland,2020-21,107,54
