original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,confidence_city_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
From the Heart Christian School 4949 Allentown Rd,38.830347,-76.950513,"From the Heart Christian School, Marlow Heights, MD, United States of America",From the Heart Christian School,,,,,,Marlow Heights,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gaithersburg High School 101 Education Blvd,39.135581,-77.195643,"Gaithersburg High School, Gaithersburg, MD, United States of America",,,Gaithersburg High School,,,,Gaithersburg,Montgomery County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Garrison Forest School 300 Garrison Forest Rd,39.40873,-76.76234,"300 Garrison Forest Road, Owings Mills, MD 21117, United States of America",,300,Garrison Forest Road,,21117,,Owings Mills,Baltimore County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Georgetown Preparatory School 10900 Rockville Pike,39.0335609,-77.10955558131681,"Georgetown Preparatory School, 10900 Rockville Pike, North Bethesda, MD 20852, United States of America",Georgetown Preparatory School,10900,Rockville Pike,,20852,,North Bethesda,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gerstell Academy 2500 Old Westminster Pike,39.512438,-76.901866,"Gerstell Academy, Carroll County, MD, United States of America",,,Gerstell Academy,,,,,Carroll County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gilman School 5407 Roland Ave,39.35943385,-76.63203009331511,"Gilman Country School, Roland Avenue, Baltimore, MD 21210, United States of America",Gilman Country School,,Roland Avenue,Greater Roland Park,21210,Wyndhurst,Baltimore,,,Maryland,MD,United States,us,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glen Burnie High School 7550 Baltimore Annapolis Blvd,39.160286049999996,-76.61738805111806,"Glen Burnie High School, Baltimore Annapolis Boulevard, Glen Burnie, MD 21060, United States of America",Glen Burnie High School,,Baltimore Annapolis Boulevard,,21060,Glen Gardens,Glen Burnie,Anne Arundel County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glenelg Country School 12793 Folly Quarter Rd,39.252277,-76.959274,"Glenelg Country School, Howard County, MD, United States of America",,,Glenelg Country School,,,,,Howard County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glenelg High School 14025 Burntwoods Rd,39.2753995,-77.00206396896996,"Glenelg High School, 14025 Burntwoods Road, Howard County, MD 21737, United States of America",Glenelg High School,14025,Burntwoods Road,,21737,,,Howard County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Governor Thomas Johnson High School 1501 N Market St,39.434386,-77.406965,"Governor Thomas Johnson High School, Frederick, MD, United States of America",,,Governor Thomas Johnson High School,,,,Frederick,Frederick County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grace Brethren Christian School 6501 Surratts Rd,38.75536,-76.89401,"Grace Brethren Christian School, 6501 Surratts Road, Clinton, MD 20735, United States of America",Grace Brethren Christian School,6501,Surratts Road,,20735,,Clinton,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Great Mills High School 21130 Great Mills Rd,38.247448500000004,-76.48749495220747,"Great Mills High School, 21130 Great Mills Road, Lexington Park, MD 20653, United States of America",Great Mills High School,21130,Great Mills Road,,20653,,Lexington Park,Saint Mary's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gwynn Park High School 13800 Brandywine Rd,38.7019569,-76.8704014,"Gwynn Park High School, Brandywine Road, TB, MD 20613, United States of America",Gwynn Park High School,,Brandywine Road,,20613,,TB,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hammond High School 8800 Guilford Rd,30.517251,-90.379749,"Hammond High School, Tangipahoa Parish, LA, United States of America",Hammond High School,,,,,,,Tangipahoa Parish,,Louisiana,LA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harford Technical High School 200 Thomas Run Rd,39.559082000000004,-76.2877016109255,"Harford Technical High School, Thomas Run Road, Oak Dale, MD 21015, United States of America",Harford Technical High School,,Thomas Run Road,,21015,,Oak Dale,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Havre de Grace High School 700 Congress Ave,39.54793975,-76.09605598859054,"Havre de Grace High School, 700 Congress Avenue, Havre de Grace, MD 21078, United States of America",Havre de Grace High School,700,Congress Avenue,,21078,,Havre de Grace,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Heights School 10400 Seven Locks Rd,44.651225,-72.161077,"Heights School, Sheffield, VT, United States of America",Heights School,,,,,Sheffield,Sheffield,Caledonia County,,Vermont,VT,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Henry E. Lackey High School 3000 Chicamuxen Rd,38.5795636,-77.1280337,"Henry E. Lackey High School, Chicamuxen Road, Marbury, MD 20640, United States of America",Henry E. Lackey High School,,Chicamuxen Road,,20640,,Marbury,Charles County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hereford High School 17301 York Rd,39.59912935,-76.65960247139566,"Hereford High School, 17301 York Road, Parkton, MD 21120, United States of America",Hereford High School,17301,York Road,,21120,,Parkton,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
High Point High School 3601 Powder Mill Rd,39.0426254,-76.9434107,"High Point High School, Powder Mill Road, Beltsville, MD 20993, United States of America",High Point High School,,Powder Mill Road,,20993,,Beltsville,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Holton-Arms School 7303 River Rd,37.01169,-76.451174,"7303 River Road, Newport News, VA 23607, United States of America",,7303,River Road,,23607,,Newport News,City of Newport News,,Virginia,VA,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Howard High School 8700 Old Annapolis Rd,39.22641325,-76.81244540607938,"Howard High School, 8700 Old Annapolis Road, Ellicott City, MD 21043, United States of America",Howard High School,8700,Old Annapolis Road,,21043,Phelps Luck,Ellicott City,Howard County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Huntingtown High School 4125 N Solomons Island Rd,38.61928855,-76.60886545055428,"Huntingtown High School, 4125 North Solomons Island Road, Sandy Bottom, MD 20678, United States of America",Huntingtown High School,4125,North Solomons Island Road,,20678,,Sandy Bottom,Calvert County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indian Creek School 1130 Anne Chambers Way,38.357822,-91.792668,"Indian Creek School, Jefferson, MO, United States of America",Indian Creek School,,,,,Jefferson Township,Jefferson,Osage County,,Missouri,MO,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Institute of Notre Dame 901 Aisquith St,39.300709049999995,-76.60151142433479,"Institute of Notre Dame, 901 Aisquith Street, Baltimore, MD 21202, United States of America",Institute of Notre Dame,901,Aisquith Street,,21202,Old Town,Baltimore,,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
International High School at Largo 505 Largo Rd,38.885198,-76.821597,"505 Largo Road, Upper Marlboro, MD 20774, United States of America",,505,Largo Road,,20774,,Upper Marlboro,Prince George's County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
International High School at Langley Park 6850 Baltimore Ave,39.9413727,-75.2547114,"6850 Baltimore Avenue, Yeadon, PA, United States of America",,6850,Baltimore Avenue,University City,,Yeadon,Yeadon,Delaware County,,Pennsylvania,PA,United States,us,0.9,,,
James Hubert Blake High School 300 Norwood Rd,39.113457,-77.01744,"James Hubert Blake High School, Norwood Estates, MD 20905, United States of America",James Hubert Blake High School,,,,20905,Norwood Estates,,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
James M Bennett High School 300 E College Ave,38.345347,-75.590781,"James M. Bennett High School, Salisbury, MD, United States of America",,,James M. Bennett High School,,,,Salisbury,Wicomico County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
John Carroll School 703 Churchville Rd,35.50317,-97.53041,"Bishop John Carroll School, Oklahoma City, OK, United States of America",Bishop John Carroll School,,,,,,Oklahoma City,Oklahoma County,,Oklahoma,OK,United States,us,0.9,,CC BY 4.0,https://www.geonames.org/datasources/
John F. Kennedy High School 1901 Randolph Rd,39.06567965,-77.03917247993337,"John F. Kennedy High School, 1901 Randolph Road, Silver Spring, MD 20902, United States of America",John F. Kennedy High School,1901,Randolph Road,,20902,Glenallen,Silver Spring,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Joppatowne High School 555 Joppa Farm Rd,39.4143859,-76.35146348979733,"Joppatowne High School, 555 Joppa Farm Road, Joppatowne, MD 21085, United States of America",Joppatowne High School,555,Joppa Farm Road,,21085,,Joppatowne,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kent County High School 25301 Lambs Meadow Rd,39.2853875,-76.0921702,"Kent County High School, Lambs Meadow Road, Still Pond, MD 21667, United States of America",Kent County High School,,Lambs Meadow Road,,21667,,Still Pond,Kent County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kent Island High School 900 Love Point Rd,38.99062,-76.31185,"Kent Island High School, Queen Anne's County, MD, United States of America",Kent Island High School,,,,,,,Queen Anne's County,,Maryland,MD,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/
Kenwood High School 501 Stemmers Run Rd,36.584186,-87.380386,"Kenwood High School, 251 East Pine Mountain Road, Clarksville, TN 37042, United States of America",Kenwood High School,251,East Pine Mountain Road,,37042,,Clarksville,Montgomery County,,Tennessee,TN,United States,us,0.15434999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Key School 534 Hillsmere Dr,33.732607,-84.38826,"Key School, Atlanta, GA, United States of America",Key School,,,,,,Atlanta,Fulton County,,Georgia,GA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Plata High School 6035 Radio Station Rd,38.546232,-76.950251,"La Plata High School, La Plata, MD, United States of America",La Plata High School,,,,,,La Plata,Charles County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Landon School 6101 Wilson Ln,38.9912804,-77.12601463806809,"Landon School, 6101 Wilson Lane, Bethesda, MD 20817, United States of America",Landon School,6101,Wilson Lane,,20817,Bradley Woods,Bethesda,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lanham Christian School 8400 Good Luck Rd,38.9791085,-76.8624129,"Lanham Christian School, Good Luck Road, Seabrook, MD 20706, United States of America",Lanham Christian School,,Good Luck Road,,20706,,Seabrook,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lansdowne High School 3800 Hollins Ferry Rd,39.245766,-76.651699,"Lansdowne High School, Lansdowne, MD, United States of America",,,Lansdowne High School,,,,Lansdowne,Baltimore County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Largo High School 505 Largo Rd,38.886667,-76.819953,"Largo High School, Largo, MD, United States of America",Largo High School,,,,,,Largo,Prince George's County,,Maryland,MD,United States,us,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Laurel High School 8000 Cherry Ln,39.0942753,-76.8674733,"Laurel High School, 8000 Cherry Lane, Laurel, MD 20707, United States of America",Laurel High School,8000,Cherry Lane,,20707,,Laurel,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Leonardtown High School 23995 Point Lookout Rd,38.270127,-76.611349,"Leonardtown High School, St. Mary's County, MD, United States of America",Leonardtown High School,,,,,,,St. Mary's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Liberty High School 5855 Bartholow Rd,39.41325325,-76.95270433388538,"Liberty High School, Bartholow Road, Eldersburg, MD 21784, United States of America",Liberty High School,,Bartholow Road,,21784,,Eldersburg,Carroll County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linganore High School 12013 Old Annapolis Rd,39.4328802,-77.2474826,"Linganore High School, 12013 Old Annapolis Road, McPherson, MD 21701, United States of America",Linganore High School,12013,Old Annapolis Road,,21701,,McPherson,Frederick County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loch Raven High School 1212 Cowpens Ave,39.405701,-76.562462,"Loch Raven High School, Hampton, MD, United States of America",,,Loch Raven High School,Harford,,,Hampton,Baltimore County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Long Reach High School 6101 Old Dobbin Ln,39.206077050000005,-76.81118978107949,"Long Reach High School, 6101 Old Dobbin Lane, Columbia, MD 21045, United States of America",Long Reach High School,6101,Old Dobbin Lane,Long Reach,21045,,Columbia,Howard County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loyola Blakefield High School 500 Chestnut Ave,39.402693,-76.627342,"500 Chestnut Avenue, Towson, MD 21204, United States of America",,500,Chestnut Avenue,,21204,,Towson,Baltimore County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Manchester Valley High School 3300 Maple Grove Rd,39.654025950000005,-76.87885132074166,"Manchester Valley High School, 3300 Maple Grove Road, Treelin Manor, MD 21074, United States of America",Manchester Valley High School,3300,Maple Grove Road,,21074,Country Life Estates,Treelin Manor,Carroll County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mardela High School 24940 Delmar Rd,38.465661,-75.74752,"24940 Delmar Road, Mardela Springs, MD 21837, United States of America",,24940,Delmar Road,,21837,,Mardela Springs,Wicomico County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Marriotts Ridge High School 12100 Woodford Dr,39.323017,-76.935274,"Marriotts Ridge High School, Howard County, MD, United States of America",,,Marriotts Ridge High School,,,,,Howard County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maryland Unknown Unfortunately,38.717959,-90.502322,"Maryland Heights, MO, United States of America",,,,,,Maryland Heights Township,Maryland Heights,St. Louis County,0.63,Missouri,MO,United States,us,0.63,,,https://www.whosonfirst.org/docs/licenses/
Maryvale Preparatory School 11300 Falls Rd,39.430018,-76.685633,"11300 Falls Road, Lutherville, MD 21093, United States of America",,11300,Falls Road,Dixon Hill,21093,,Lutherville,Baltimore County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Maurice J McDonough High School 7165 Marshall Corner Rd,38.55496,-77.034091,"7165 Marshall Corner Road, Pomfret, MD 20675, United States of America",,7165,Marshall Corner Road,,20675,,Pomfret,Charles County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
McDonogh School 8600 McDonogh Rd,39.39829565,-76.77240368420726,"McDonogh School, 8600 McDonogh Road, Owings Mills, MD 21117, United States of America",McDonogh School,8600,McDonogh Road,,21117,,Owings Mills,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
McLean School 8224 Lochinver Ln,39.038803,-77.16794255768815,"McLean School of Maryland, Lochinver Lane, Potomac, MD 20854, United States of America",McLean School of Maryland,,Lochinver Lane,,20854,Fox Hills,Potomac,Montgomery County,,Maryland,MD,United States,us,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meade Senior High School 1100 Clark Rd,39.122124,-76.738454,"Meade Senior High School, Fort Meade, MD, United States of America",,,Meade Senior High School,,,,Fort Meade,Anne Arundel County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Melvin J. Berman Hebrew Academy 13300 Arctic Ave,39.073863349999996,-77.100922575,"Melvin J. Berman Hebrew Academy, 13300 Arctic Avenue, Rockville, MD 20853, United States of America",Melvin J. Berman Hebrew Academy,13300,Arctic Avenue,,20853,Sycamore Creek,Rockville,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mercy High School 1300 E Northern Pkwy,40.174044,-122.230552,"Mercy High School, Red Bluff, CA, United States of America",Mercy High School,,,,,,Red Bluff,Tehama County,,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mergenthaler Vocational-Technical High School 3500 Hillen Rd,39.332258550000006,-76.591075,"Mergenthaler Vocational-Technical High School, 3500 Hillen Road, Baltimore, MD 21218, United States of America",Mergenthaler Vocational-Technical High School,3500,Hillen Road,Northwood,21218,Ednor Gardens-Lakeside,Baltimore,,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Middletown High School 200 Schoolhouse Dr,39.4464902,-77.5341543,"Middletown High School, Schoolhouse Drive, Middletown, MD 21769, United States of America",Middletown High School,,Schoolhouse Drive,,21769,,Middletown,Frederick County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Milford Mill Academy 3800 Washington Ave,39.35566255,-76.7500186346719,"Milford Mill Academy, Washington Avenue, Milford Mill, MD 21244, United States of America",Milford Mill Academy,,Washington Avenue,,21244,,Milford Mill,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Montgomery Blair High School 51 University Blvd E,39.018274,-77.011607,"Montgomery Blair High School, 51 University Boulevard East, Silver Spring, MD 20901, United States of America",Montgomery Blair High School,51,University Boulevard East,,20901,,Silver Spring,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mount de Sales Academy 700 Academy Rd,32.834306,-83.639903,"Mount De Sales Academy, Macon, GA, United States of America",Mount De Sales Academy,,,,,,Macon,Bibb County,,Georgia,GA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mount Hebron High School 9440 Old Frederick Rd,39.2992019,-76.83960840595773,"Mount Hebron High School, 9440 Old Frederick Road, Ellicott City, MD 21042, United States of America",Mount Hebron High School,9440,Old Frederick Road,,21042,Mount Hebron,Ellicott City,Howard County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mount Saint Joseph High School 4403 Frederick Ave,39.279774,-76.685566,"Yale Avenue & Mount Saint Joseph High School Mid Southbound, Baltimore, MD, United States of America",Yale Avenue & Mount Saint Joseph High School Mid Southbound,,,,,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,0.5904900000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mountain Ridge High School 100 Dr Nancy S Grasmick Ln,39.650391,-78.913282,"Mountain Ridge High School, 100 Doctor Nancy S. Grasmick Lane, Frostburg, MD 21532, United States of America",Mountain Ridge High School,100,Doctor Nancy S. Grasmick Lane,,21532,,Frostburg,Allegany County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New Town High School 4931 New Town Blvd,47.98148,-102.48799,"New Town High School, New Town, ND, United States of America",New Town High School,,,,,New Town,New Town,Mountrail County,,North Dakota,ND,United States,us,0.9,,CC BY 4.0,https://www.geonames.org/datasources/
North Caroline High School 10990 River Rd,38.90965,-75.841245,"North Caroline High School, 10990 River Road, Ridgely, MD 21660, United States of America",North Caroline High School,10990,River Road,,21660,,Ridgely,Caroline County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Carroll High School 1400 Panther Dr,39.609988,-76.861121,"1400 Panther Drive, Hampstead, MD 21074, United States of America",,1400,Panther Drive,,21074,,Hampstead,Carroll County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
North County High School 10 E 1st Ave,39.192842,-76.637055,"North County High School, Ferndale, MD, United States of America",,,North County High School,,,,Ferndale,Anne Arundel County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Dorchester High School 5875 Cloverdale Rd,38.5875635,-75.87314445608081,"North Dorchester High School, Cloverdale Road, Shiloh Church, MD 21643, United States of America",North Dorchester High School,,Cloverdale Road,,21643,Shiloh Manor,Shiloh Church,Dorchester County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North East High School 300 Irishtown Rd,39.5853913,-75.9332767,"North East High School, Irishtown Road, North East, MD 21901, United States of America",North East High School,,Irishtown Road,,21901,,North East,Cecil County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Hagerstown High School 12010 Professional Blvd,39.661972,-77.714199,"North Hagerstown High School, 1200 Pennsylvania Avenue, Hagerstown, MD 21742, United States of America",North Hagerstown High School,1200,Pennsylvania Avenue,,21742,,Hagerstown,Washington County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Harford High School 211 Pylesville Rd,39.6741921,-76.4008377226371,"North Harford High School, Pylesville Road, Bushs Corner, MD 21132, United States of America",North Harford High School,,Pylesville Road,,21132,,Bushs Corner,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Point High School: 2500 Davis Road,38.640205699999996,-76.9758433608167,"North Point High School, 2500 Davis Road, Waldorf, MD 20603, United States of America",North Point High School,2500,Davis Road,,20603,,Waldorf,Charles County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Northeast Senior High School: 1121 Duvall Highway,36.15847,-79.67253,"Northeast Senior High School, Guilford County, NC, United States of America",Northeast Senior High School,,,,,,,Guilford County,,North Carolina,NC,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/
Northern Garrett County High School: 86 Pride Parkway,39.664253,-79.299,"86 Pride Parkway, Accident, MD 21520, United States of America",,86,Pride Parkway,,21520,,Accident,Garrett County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Northern High School: 2950 Chaneyville Road,38.6855138,-76.650919,"Northern High School, Chaneyville Road, Chaneyville, MD 20736, United States of America",Northern High School,,Chaneyville Road,,20736,,Chaneyville,Calvert County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Northwest High School: 13501 Richter Farm Road,39.151084499999996,-77.27966016161383,"Northwest High School, 13501 Richter Farm Road, Germantown, MD 20874, United States of America",Northwest High School,13501,Richter Farm Road,,20874,Clopper's Mill West,Germantown,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Northwestern High School: 7000 Adelphi Road,38.974992400000005,-76.95502815379783,"Northwestern High School, 7000 Adelphi Road, Hyattsville, MD 20782, United States of America",Northwestern High School,7000,Adelphi Road,,20782,,Hyattsville,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Northwood High School: 919 University Boulevard West,39.035803,-77.022522,"Northwood High School, 919 University Boulevard West, Silver Spring, MD 20901, United States of America",Northwood High School,919,University Boulevard West,,20901,,Silver Spring,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Northwood High School: 310 North Avenue,26.612061,-81.613269,"310 North Avenue, Lehigh Acres, FL 33936, United States of America",,310,North Avenue,,33936,,Lehigh Acres,Lee County,,Florida,FL,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Notre Dame Preparatory School: 815 Hampton Lane,42.675212,-83.259393,"Notre Dame Preparatory School, Pontiac, MI, United States of America",Notre Dame Preparatory School,,,,,Pontiac,Pontiac,Oakland County,,Michigan,MI,United States,us,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oakdale High School: 5850 Eaglehead Drive,39.395041899999995,-77.30998786964554,"Oakdale High School, 5850 Eaglehead Drive, Yeager, MD 21774, United States of America",Oakdale High School,5850,Eaglehead Drive,,21774,,Yeager,Frederick County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oakland Mills High School: 9410 Kilimanjaro Road,39.2088003,-76.83918915125436,"Oakland Mills High School, Kilimanjaro Road, Columbia, MD 21045, United States of America",Oakland Mills High School,,Kilimanjaro Road,Oakland Mills,21045,Talbott Springs,Columbia,Howard County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Old Mill Senior High School: 600 Patriot Lane,39.122377,-76.628381,"600 Patriot Lane, Millersville, MD 21108, United States of America",,600,Patriot Lane,,21108,,Millersville,Anne Arundel County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Our Lady of Good Counsel High School: 17301 Old Vic Boulevard,39.141394,-77.045491,"Our Lady Of Good Counsel High School, 17301 Old Vic Boulevard, Olney, MD 20832, United States of America",Our Lady Of Good Counsel High School,17301,Old Vic Boulevard,,20832,,Olney,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Our Lady of Mount Carmel High School: 1706 Old Eastern Avenue,39.3206523,-76.4478193,"Our Lady of Mount Carmel High School, Old Eastern Avenue, Middle River, MD 21221, United States of America",Our Lady of Mount Carmel High School,,Old Eastern Avenue,,21221,Josenhans,Middle River,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Overlea High School: 5401 Kenwood Avenue,39.3492173,-76.5109199,"Overlea High School, Kenwood Avenue, Overlea, MD 21206, United States of America",Overlea High School,,Kenwood Avenue,,21206,Linhigh,Overlea,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Owings Mills High School: 124 Tollgate Road,39.423775,-76.79448,"Owings Mills High School, Owings Mills, MD, United States of America",,,Owings Mills High School,,,,Owings Mills,Baltimore County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
