original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,confidence_city_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Bel Air High School 100 Heighe St,39.52953035,-76.34688705105536,"Bel Air High School, 100 Heighe Street, Bel Air, MD 21014, United States of America",Bel Air High School,100,Heighe Street,,21014,Wakefield Manor,Bel Air,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Beth Tfiloh Dahan Community High School 3300 Old Court Rd,39.386529,-76.707335,"3300 Old Court Road, Pikesville, MD 21208, United States of America",,3300,Old Court Road,,21208,,Pikesville,Baltimore County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Bethesda-Chevy Chase High School 4301 East-West Hwy,38.986472,-77.088947,"Bethesda-Chevy Chase High School, 4301 East-West Highway, Bethesda, MD 20814, United States of America",Bethesda-Chevy Chase High School,4301,East-West Highway,,20814,,Bethesda,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bishop McNamara High School 6800 Marlboro Pike,38.8522475,-76.8885013,"Bishop McNamara High School, Marlboro Pike, Forestville, MD 20747, United States of America",Bishop McNamara High School,,Marlboro Pike,,20747,Berkshire,Forestville,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bladensburg High School 4200 57th Ave,38.942662549999994,-76.91795359986081,"Bladensburg High School, 4200 57th Avenue, Bladensburg, MD 20710, United States of America",Bladensburg High School,4200,57th Avenue,,20710,,Bladensburg,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bohemia Manor High School 2755 Augustine Herman Hwy,39.5112244,-75.8307712,"Bohemia Manor High School, Augustine Herman Highway, North Chesapeake City, MD 21915, United States of America",Bohemia Manor High School,,Augustine Herman Highway,,21915,,North Chesapeake City,Cecil County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Boonsboro High School 10 Campus Ave,39.51597,-77.651885,"Boonsboro High School, Boonsboro, MD, United States of America",Boonsboro High School,,,,,,Boonsboro,Washington County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bowie High School 15200 Annapolis Rd,32.325303,-109.489834,"Bowie High School, Bowie, AZ, United States of America",Bowie High School,,,,,,Bowie,Cochise County,,Arizona,AZ,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Boys' Latin School of Maryland 822 W Lake Ave,39.372659,-76.636037,"822 W Lake Avenue, Baltimore, MD 21210, United States of America",,822,W Lake Avenue,,21210,,Baltimore,Baltimore County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Broadneck High School 1265 Green Holly Dr,39.03994495,-76.4534832848471,"Broadneck High School, 1265 Green Holly Drive, Cape Saint Claire, MD 21409, United States of America",Broadneck High School,1265,Green Holly Drive,,21409,Deer Creek,Cape Saint Claire,Anne Arundel County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
